t,a4,a8,b4,-1,40,0,0,a9,t,t,t,t,t,t,t,t,t,t,3
f,s9,a10,s6,b4,39,0,0,a9,t,t,t,t,t,t,t,t,t,t,3
t,a4,a8,a1,-1,38,0,0,a9,t,t,t,t,t,t,t,t,t,t,1
f,s9,a10,s8,a4,37,0,0,a9,t,t,t,t,t,t,t,t,t,t,3
t,b9,a8,a1,-1,36,2,0,a9,t,t,t,f,t,t,t,t,t,t,1
f,s9,a10,b5,b9,35,0,2,a9,t,t,t,f,t,t,t,t,t,t,3
t,k7,a8,a1,-1,34,5,0,a9,t,t,t,f,t,t,t,t,t,t,1
f,s9,a10,b8,k7,33,0,5,a9,t,t,t,f,t,t,t,t,t,t,3
t,a7,a8,a1,-1,32,7,0,a9,t,t,t,f,t,t,t,t,t,t,1
f,s9,a10,b10,a7,31,0,7,a9,t,t,t,f,t,t,t,t,t,t,1
t,b6,a8,a1,-1,30,10,0,a9,t,t,t,f,t,t,f,t,t,t,1
f,s4,a10,b10,b6,29,0,10,a9,t,t,t,f,t,t,f,t,t,t,3
t,s4,a10,k8,-1,28,4,10,a9,t,t,t,f,t,t,f,t,t,t,3
f,s5,a8,a1,k8,27,10,4,a9,t,t,t,f,t,t,f,t,t,t,1
t,s4,a10,a2,-1,26,6,10,a9,t,t,t,f,t,t,f,t,t,t,1
f,k2,a8,a1,s4,25,10,6,a9,t,t,t,f,t,t,f,t,t,t,1
t,k10,a10,a2,-1,24,6,10,a9,t,t,t,f,t,t,f,t,t,t,1
f,s2,a8,a1,k10,23,10,6,a9,t,t,t,f,t,t,f,t,t,t,2
t,s2,s7,a1,-1,22,16,6,a9,t,t,t,f,t,t,f,f,t,t,2
f,a3,a10,a2,s7,21,6,16,a9,t,t,t,f,t,t,f,f,t,t,3
t,a3,a10,k4,-1,20,6,16,a9,t,f,t,f,t,t,f,f,t,t,3
f,s2,b3,a1,k4,19,16,6,a9,t,f,t,f,t,t,f,f,t,t,1
t,a3,a10,k1,-1,18,6,16,a9,t,f,t,f,t,t,f,f,t,t,2
f,b7,b3,a1,a10,17,16,6,a9,t,f,t,f,t,t,f,f,t,t,1
